,Name,CanonSmiles,logp,mw,tpsa,n_hba,n_hbd,ro5,pfizer_rule_passed,gsk_rule_passed,goldentriangle_rule_passed,qed,sascore,sascore,mce18,npscore,qed_passed,sascore_passed,fsp3_passed,mce18_passed,pains_Disposed,pains_MatchedAtoms,pains_MatchedNames,alarmnmr_Disposed,alarmnmr_MatchedAtoms,alarmnmr_MatchedNames,bms_Disposed,bms_MatchedAtoms,bms_MatchedNames,chelator_Disposed,chelator_MatchedAtoms,chelator_MatchedNames
34,Aspartic acid,N[C@@H](CC(=O)O)C(=O)O,-1.127,133.037507704,100.62000000000002,3,3,5,True,True,False,0.45202125503537777,2.41152688234072,0.5,3.0,1.0796256032994,False,True,True,False,Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-']
35,Ornithine,NCCC[C@H](N)C(=O)O,-0.8627999999999991,132.089877624,89.34,3,3,5,True,True,False,0.4638861120098108,2.5648059945328754,0.8,2.0,1.5939798335091782,False,True,True,False,Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-']
36,L-Glutamine,NC(=O)CC[C@H](N)C(=O)O,-1.3361999999999998,146.06914218,106.41000000000001,3,3,5,True,True,False,0.4560917735982506,2.426705976056411,0.6,3.0,0.8921076698336602,False,True,True,False,Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-']
37,Adenosine phosphate,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,-1.8630000000000009,347.0630844179999,186.07,10,5,4,True,True,True,0.39017854457244017,3.8048894493072236,0.5,70.66666666666666,1.2966757882455953,False,True,True,True,Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-'],Rejected,"[((0, 1, 2, 3, 4, 5, 6, 7, 8, 9),)]",['C9*']
38,alpha-Linolenic acid,CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)O,5.660500000000005,278.2245802,37.3,1,1,4,False,False,False,0.3484104486085374,2.5886291557153243,0.6111111111111112,0.0,1.358384488598265,False,True,True,False,Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-']
39,Serine,N[C@@H](CO)C(=O)O,-1.6093999999999997,105.042593084,83.55,3,3,5,True,True,False,0.3942403492047702,2.629884123506786,0.6666666666666666,2.0,1.4050895767856575,False,True,True,False,Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-']
40,Methionine,CSCC[C@H](N)C(=O)O,0.1513999999999998,149.051049592,63.32000000000001,3,2,5,True,True,False,0.596996208092774,2.6403638540646472,0.8,2.0,0.3428285563410889,False,True,True,False,Accepted,['-'],['-'],Rejected,"[((0, 1, 2),)]",['CSC'],Accepted,['-'],['-'],Accepted,['-'],['-']
41,Tyrosine,N[C@@H](Cc1ccc(O)cc1)C(=O)O,0.3466,181.073893212,83.55,3,3,5,True,True,False,0.6277204469356521,2.1485924912578547,0.2222222222222222,14.0,0.8777119567940694,False,True,False,False,Accepted,['-'],['-'],Rejected,"[((7, 6, 5, 4, 3, 9, 8),)]",['c1ccccc1O'],Accepted,['-'],['-'],Accepted,['-'],['-']
42,Calcitriol,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,5.704700000000008,416.32904526799996,60.69,3,3,4,False,False,False,0.5199919050350968,4.516057435234479,0.7777777777777778,57.5,2.652134248255691,False,True,True,True,Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-']
44,Cystine,N[C@@H](CSSC[C@H](N)C(=O)O)C(=O)O,-0.8083999999999993,240.023848864,126.64,6,4,5,True,True,True,0.33602476320889413,3.497394630688593,0.6666666666666666,4.0,0.7194365767286144,False,True,True,False,Accepted,['-'],['-'],Rejected,"[((3, 2, 1, 11, 12), (4, 5, 6, 8, 9))]",['SCCC=O'],Rejected,"[((3, 4),)]",['disulfide_acyclic'],Accepted,['-'],['-']
45,Succinic acid,O=C(O)CCC(=O)O,-0.06420000000000009,118.02660867200001,74.6,2,2,5,True,True,False,0.5437714031598524,1.6080314072379966,0.5,0.0,0.37645268102813756,False,True,True,False,Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-']
46,Riboflavin,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(CC(O)C(O)C(O)CO)c2cc1C,-1.7235599999999989,376.13828435999994,161.56,9,5,4,True,True,True,0.3284121594560428,3.7905002807051895,0.4117647058823529,63.0,0.06542703160760004,False,True,False,True,Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-']
47,N-Acetylglucosamine,CC(=O)N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O,-3.077599999999999,221.0899372,119.25000000000001,6,5,5,True,True,False,0.33723889506423077,3.6280703530629257,0.875,24.0,2.018613704141287,False,True,True,False,Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-']
48,Glutamic acid,N[C@@H](CCC(=O)O)C(=O)O,-0.7368999999999997,147.053157768,100.62000000000002,3,3,5,True,True,False,0.48597553095435087,2.321441976056411,0.6,3.0,1.3156420299939602,False,True,True,False,Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-']
51,Glycine,NCC(=O)O,-0.9702999999999999,75.0320284,63.32000000000001,2,2,5,True,True,False,0.42117088793654706,2.0515053053652874,0.5,0.0,0.4499100098347199,False,True,True,False,Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-']
52,Calcifediol,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]12,6.733900000000008,400.334130648,40.46,2,2,4,False,False,False,0.5184686039927527,4.392790306667808,0.7777777777777778,55.0,2.630923154041059,False,True,True,True,Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-']
53,Pyridoxal,Cc1ncc(CO)c(C=O)c1O,0.40041999999999983,167.058243148,70.42,4,2,5,True,True,False,0.6253009937932186,2.7140454075616844,0.25,7.0,0.700942942336817,False,True,False,False,Accepted,['-'],['-'],Rejected,"[((11, 10, 7, 4, 3, 2, 1),), ((7, 8, 9),)]","['c1ccccc1O', '[CH]=O']",Rejected,"[((7, 8, 9),)]",['aldehyde'],Accepted,['-'],['-']
54,Creatine,CN(CC(=O)O)C(=N)N,-1.1037299999999988,131.069476528,90.41000000000001,2,3,5,True,True,False,0.32736274622427813,2.5939776575752074,0.5,0.0,0.31908433293219995,False,True,True,False,Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-']
55,Leucine,CC(C)C[C@H](N)C(=O)O,0.44439999999999996,131.094628656,63.32000000000001,2,2,5,True,True,False,0.5839472301812022,2.395282826396663,0.8333333333333334,3.0,0.9840594804385889,False,True,True,False,Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-']
56,Tryptophan,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,1.1223000000000003,204.089877624,79.11,2,3,5,True,True,True,0.7005840997557369,2.300633991921078,0.18181818181818182,22.0,0.39214819345191804,True,True,False,False,Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-']
57,Cysteine,N[C@@H](CS)C(=O)O,-0.6719000000000002,121.019749464,63.32000000000001,3,3,5,True,True,False,0.42438150224218973,2.9786198701131212,0.6666666666666666,2.0,1.1362500921390999,False,True,True,False,Accepted,['-'],['-'],Rejected,"[((2, 3),), ((3, 2, 1, 4, 5),)]","['[SH]', 'SCCC=O']",Accepted,['-'],['-'],Accepted,['-'],['-']
58,Thiamine,Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1.[Cl-],-2.388259999999998,300.081159844,75.91,5,2,5,True,True,False,0.6180885837075236,3.3765231516693124,0.4166666666666667,10.0,-0.09473226861817373,False,True,False,False,Accepted,['-'],['-'],Rejected,"[((7, 8, 9),), ((16, 15, 4, 3, 2, 1, 17),)]","['c1sccc1', 'c1ccccc1N']",Accepted,['-'],['-'],Accepted,['-'],['-']
59,Ergocalciferol,C=C1CC[C@H](O)C/C1=C\C=C1/CCC[C@]2(C)[C@@H]([C@H](C)/C=C/[C@H](C)C(C)C)CC[C@@H]12,7.641000000000008,396.339216028,20.23,1,1,4,False,False,False,0.4732790343822408,4.596242976925582,0.7142857142857143,52.5,2.8122750367021765,False,True,True,True,Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-']
60,Dihomo-gamma-linolenic acid,CCCCC/C=C\C/C=C\C/C=C\CCCCCCC(=O)O,6.440700000000006,306.255880328,37.3,1,1,4,False,False,False,0.2790162820340307,2.530633247296647,0.65,0.0,1.0793409837472865,False,True,True,False,Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-']
61,Citrulline,NC(=O)NCCC[C@H](N)C(=O)O,-1.1531999999999993,175.095691276,118.44000000000001,3,4,5,True,True,False,0.3941591852138037,2.5601701906398517,0.6666666666666666,3.0,0.24438161977080006,False,True,True,False,Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-']
62,Threonine,C[C@@H](O)[C@H](N)C(=O)O,-1.2208999999999997,119.058243148,83.55,3,3,5,True,True,False,0.42509560262695134,3.0085118489955853,0.75,3.0,1.1675827401922874,False,True,True,False,Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-']
65,Icosapent,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O,5.9927000000000055,302.2245802,37.3,1,1,4,False,False,False,0.3348176579051081,3.037184895648295,0.45,0.0,1.1159552698020134,False,True,True,False,Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-']
66,Alanine,C[C@H](N)C(=O)O,-0.5817999999999999,89.047678464,63.32000000000001,2,2,5,True,True,False,0.4513521877377077,2.31960284997475,0.6666666666666666,2.0,0.3843162324282166,False,True,True,False,Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-']
67,Valine,CC(C)[C@H](N)C(=O)O,0.05430000000000007,117.078978592,63.32000000000001,2,2,5,True,True,False,0.5369765717084767,2.527042170465048,0.8,3.0,0.8342143300664626,False,True,True,False,Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-']
68,Vitamin A,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/CO)C(C)(C)CCC1,5.510300000000006,286.22966558,20.23,1,1,4,False,False,False,0.6605933879271789,3.232607992901805,0.5,12.666666666666666,2.6145502533430087,False,True,True,False,Accepted,['-'],['-'],Accepted,['-'],['-'],Rejected,"[((3, 4, 5, 7, 8, 9), (5, 7, 8, 9, 10, 12))]",['polyene'],Accepted,['-'],['-']
69,Vitamin E,Cc1c(C)c2c(c(C)c1O)CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O2,8.840260000000002,430.38108084,29.46,2,1,4,False,False,False,0.35864394447897774,3.77976479049606,0.7931034482758621,56.07692307692308,1.4998346307745098,False,True,True,True,Accepted,['-'],['-'],Rejected,"[((9, 8, 6, 5, 4, 30, 2, 1),)]",['[OH]c1ccc(O)cc1'],Rejected,"[((14, 15, 16, 17, 19, 20, 21, 22, 24, 25), (15, 16, 17, 19, 20, 21, 22, 24, 25, 26), (16, 17, 19, 20, 21, 22, 24, 25, 26, 27), (17, 19, 20, 21, 22, 24, 25, 26, 27, 28), (17, 19, 20, 21, 22, 24, 25, 26, 27, 29), (18, 17, 19, 20, 21, 22, 24, 25, 26, 27))]",['gte_10_carbon_sb_chain'],Accepted,['-'],['-']
70,Pyridoxine,Cc1ncc(CO)c(CO)c1O,0.08021999999999985,169.073893212,73.58000000000001,4,3,5,True,True,False,0.5858308475922274,2.549111753715531,0.375,7.0,0.6363276859448918,False,True,False,False,Accepted,['-'],['-'],Rejected,"[((11, 10, 7, 4, 3, 2, 1),)]",['c1ccccc1O'],Accepted,['-'],['-'],Accepted,['-'],['-']
71,Lipoic acid,O=C(O)CCCCC1CCSS1,2.7851000000000017,206.043521688,37.3,3,1,5,True,True,True,0.5541818739705442,3.1708002884357933,0.875,12.0,0.9336374438485916,False,True,True,False,Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-']
72,Isoleucine,CC[C@H](C)[C@H](N)C(=O)O,0.44439999999999996,131.094628656,63.32000000000001,2,2,5,True,True,False,0.5839472301812022,2.8159924018723625,0.8333333333333334,3.0,0.9046187179037002,False,True,True,False,Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-']
73,Aspartame,COC(=O)C(Cc1ccccc1)NC(=O)C(N)CC(=O)O,-0.31109999999999954,294.121571676,118.72000000000001,5,3,5,True,True,True,0.5934654062957845,2.5266633334448194,0.35714285714285715,18.0,0.26440861051456666,False,True,False,False,Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-']
74,Cholecalciferol,C=C1CC[C@H](O)C/C1=C\C=C1/CCC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]12,7.619000000000008,384.339216028,20.23,1,1,4,False,False,False,0.49910402699484807,4.256083240460134,0.7777777777777778,50.0,2.5163752890678106,False,True,True,True,Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-']
77,Proline,O=C(O)[C@@H]1CCCN1,-0.177,115.063328528,49.33,2,2,5,True,True,False,0.4982089208893278,2.7356470655699425,0.8,14.444444444444445,0.980098452078625,False,True,True,False,Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-']
78,Adenine,Nc1ncnc2nc[nH]c12,-0.0648999999999999,135.05449516,80.47999999999999,4,2,5,True,True,False,0.5296759293780585,2.6602057061980595,0.0,9.0,-0.48016737706869,False,True,False,False,Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-']
79,Asparagine,NC(=O)C[C@H](N)C(=O)O,-1.7263000000000002,132.053492116,106.41000000000001,3,3,5,True,True,False,0.4239394773771117,2.5155429662568043,0.5,3.0,0.8014949340112889,False,True,True,False,Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-']
80,Pravastatin,CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21,2.4404000000000003,424.24610349199986,124.29,6,4,5,True,False,True,0.39708378626335494,4.6252012680302474,0.7391304347826086,39.099999999999994,2.180549866520257,False,True,True,False,Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-']
81,Fluvoxamine,COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1.O=C(O)/C=C\C(=O)O,2.9133000000000004,434.1664711799999,131.44,6,3,5,True,False,True,0.21116128594778608,2.7002466823108406,0.42105263157894735,8.0,-0.35597249562926664,False,True,True,False,Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-']
82,Valsartan,CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1)[C@H](C(=O)O)C(C)C,4.161700000000002,435.227039788,112.07000000000001,5,2,5,True,False,True,0.49443162692459075,2.9007694286999097,0.375,38.0,-0.8062331304240967,False,True,False,False,Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-']
83,Ramipril,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@@H]2CCC[C@@H]21,2.3831999999999995,416.23112212399997,95.94000000000001,5,2,5,True,False,True,0.6003163359035135,3.615357632170488,0.6086956521739131,64.1891891891892,0.12483274985020339,False,True,True,True,Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-']
86,Baclofen,NCC(CC(=O)O)c1ccc(Cl)cc1,1.857,213.055656304,63.32000000000001,2,2,5,True,True,True,0.8026316327602356,2.3814925634940884,0.3,14.0,0.05031978830975003,True,True,False,False,Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-']
87,Amphetamine,CC(N)Cc1ccccc1,1.5763,135.104799416,26.02,1,1,5,True,True,False,0.6542162175383444,1.8385878222102576,0.3333333333333333,10.0,-0.021749670994770015,False,True,False,False,Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-']
89,Nicotine,CN1CCCC1c1cccnc1,1.8483,162.115698448,16.130000000000003,2,0,5,True,True,False,0.6261518225795569,2.499925511448076,0.5,31.799999999999997,-0.4120066640714167,False,True,True,False,Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-']
91,Lorazepam,O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O,3.1013000000000015,320.01193292,61.69,3,2,5,False,True,True,0.847697894583369,2.807837956019064,0.06666666666666667,53.125,-0.3670798336237714,True,True,False,True,Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-']
92,Esmolol,COC(=O)CCc1ccc(OCC(O)CNC(C)C)cc1,1.5298999999999996,295.17835828,67.79,5,2,5,True,True,True,0.6762987306145708,2.397022288168504,0.5625,16.0,-0.24186356253552713,True,True,True,False,Accepted,['-'],['-'],Rejected,"[((10, 9, 8, 7, 6, 20, 19),)]",['c1ccccc1O'],Accepted,['-'],['-'],Accepted,['-'],['-']
93,Bortezomib,CC(C)C[C@@H](NC(=O)[C@@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,0.36059999999999964,384.19688568000004,124.44000000000001,6,4,5,True,True,True,0.46304615262258836,3.1770499920259834,0.3684210526315789,28.0,-0.6435993421349571,False,True,False,False,Accepted,['-'],['-'],Accepted,['-'],['-'],Rejected,"[((4, 25),)]",['boron_warhead'],Accepted,['-'],['-']
94,Ethchlorvynol,C#CC(O)(/C=C/Cl)CC,1.5132,144.034192588,20.23,1,1,5,True,True,False,0.5829710350354784,4.770847466104781,0.42857142857142855,3.0,0.6267567717321333,False,True,True,False,Accepted,['-'],['-'],Rejected,"[((4, 5, 6),)]",['C=CCl'],Accepted,['-'],['-'],Accepted,['-'],['-']
96,Phentermine,CC(C)(N)Cc1ccccc1,1.9664,149.12044948,26.02,1,1,5,True,True,False,0.6831676333388244,1.7486434132203073,0.4,7.0,0.10819743182323638,True,True,False,False,Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-']
97,Indecainide,CC(C)NCCCC1(C(N)=O)c2ccccc2-c2ccccc21,3.2166000000000015,308.18886338799996,55.12,2,2,5,False,True,True,0.8051213486025681,2.366348056997502,0.35,37.33333333333333,-0.050527809609399954,True,True,False,False,Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-']
98,Tramadol,COc1cccc([C@@]2(O)CCCC[C@@H]2CN(C)C)c1.[Cl-].[H+],-0.2488999999999988,299.165206752,32.7,3,1,5,True,True,True,0.8323206250068523,3.3222999031908627,0.625,31.153846153846153,0.3901255864749097,True,True,True,False,Accepted,['-'],['-'],Rejected,"[((1, 2, 3, 4, 5, 6, 18),)]",['c1ccccc1O'],Accepted,['-'],['-'],Accepted,['-'],['-']
99,Vidarabine,Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O,-1.9800000000000006,267.096753896,139.54000000000002,9,4,5,True,True,True,0.49051986767922323,3.5313095881349117,0.5,60.06666666666666,1.3138998457117157,False,True,True,True,Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-'],Rejected,"[((0, 1, 2, 3, 4, 5, 6, 7, 8, 9),)]",['C9*']
100,Betaxolol,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1,2.3933999999999997,307.214743788,50.72,4,2,5,True,True,True,0.6164391834948149,2.5806209690490434,0.6666666666666666,35.2,-0.5636137938509302,False,True,True,False,Accepted,['-'],['-'],Rejected,"[((8, 9, 10, 11, 12, 20, 21),)]",['c1ccccc1O'],Accepted,['-'],['-'],Accepted,['-'],['-']
101,Fluconazole,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,0.7357999999999993,306.10406544399996,81.64999999999999,7,1,5,True,True,True,0.7515159753061997,2.769642038505438,0.23076923076923078,17.0,-0.8641077469924136,True,True,False,False,Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-']
102,Troglitazone,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,4.374260000000002,441.16099396399994,84.86,6,2,5,True,False,True,0.7166041254699328,3.586458714609586,0.4166666666666667,84.11764705882354,1.0416020934455774,True,True,False,True,Accepted,['-'],['-'],Rejected,"[((9, 8, 6, 5, 4, 30, 2, 1),), ((26, 21, 22, 23, 25),), ((22, 21, 26, 27),), ((25, 23, 24, 22),), ((15, 16, 17, 18, 19, 28, 29),)]","['[OH]c1ccc(O)cc1', 'C1CSCN1', 'SCC=O', 'NC(=O)S', 'c1ccccc1O']",Accepted,['-'],['-'],Accepted,['-'],['-']
103,Oseltamivir,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1,1.2853999999999997,312.204907376,90.64999999999999,5,2,5,True,True,True,0.6912235198580302,3.7582791730802336,0.75,22.857142857142854,1.0194227001370182,True,True,True,False,Accepted,['-'],['-'],Rejected,"[((6, 5, 3, 4, 2, 1),)]",['C=CC(=O)OC'],Accepted,['-'],['-'],Accepted,['-'],['-']
106,Caffeine,Cn1c(=O)c2c(ncn2C)n(C)c1=O,-1.0293,194.08037556,61.82,6,0,5,True,True,False,0.5384628262372215,2.29798245679401,0.375,13.0,-1.0865894217185572,False,True,False,False,Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-']
107,Succinylcholine,C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C,0.2654000000000025,290.21946028018,52.60000000000001,4,0,5,True,True,True,0.4515871613452488,2.7784802924328584,0.8571428571428571,0.0,0.339323528465805,False,True,True,False,Accepted,['-'],['-'],Accepted,['-'],['-'],Rejected,"[((1, 16),)]",['gte_2_N_quats'],Accepted,['-'],['-']
108,Sildenafil,CCCc1nn(C)c2c(=O)nc(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)[nH]c12,1.6109,474.20492444,113.41999999999999,8,1,5,True,False,False,0.5534046105187581,2.698170644060326,0.5,58.30303030303031,-1.4976182086791452,False,True,True,True,Accepted,['-'],['-'],Rejected,"[((15, 16, 17, 18),), ((28, 27, 26, 25, 14, 13, 12),)]","['S(=O)(=O)N', 'c1ccccc1O']",Accepted,['-'],['-'],Accepted,['-'],['-']
